멘티_ID,현재 기술 수준,학습 목표,관심 분야
1840,중급,영화 비평 기술 향상,지리학
1841,중급,조경 디자인 학습,체육
1842,고급,고급 수학 학습,언어
1843,초급,산업 디자인 기술 배우기,패션
1844,고급,현대 철학 이해,재무 관리
1845,고급,의사소통 기술 향상,역사
1846,고급,기계 공학 원리 학습,재무 관리
1847,중급,외국어 배우기,예술
1848,초급,심리학 학습,법학
1849,중급,웹툰 제작 기술 배우기,피트니스
1850,중급,프리랜서 비즈니스 관리,프로젝트 관리
1851,고급,산업 디자인 기술 배우기,농업
1852,중급,요리 기술 향상,3D 프린팅
1853,고급,공연 기획 배우기,역사
1854,초급,문서 작성 기술 배우기,지구과학
1855,초급,생산성 높이는 방법 배우기,환경 보호
1856,고급,게임 디자인 이해,요리
1857,고급,인터뷰 기술 향상,영화 제작
1858,중급,프리랜서 비즈니스 관리,소셜 미디어
1859,고급,자동차 정비 배우기,인터뷰
1860,초급,공연 기획 배우기,피트니스
1861,중급,공공 연설 능력 개발,스포츠
1862,고급,서핑 배우기,글쓰기
1863,중급,서비스 디자인 학습,여행
1864,초급,통계학 공부,심리학
1865,중급,음악 이론 배우기,지질학
1866,초급,웹툰 제작 기술 배우기,천문학
1867,중급,고전 문학 학습,인터뷰
1868,초급,스토리텔링 능력 개발,기상학
1869,고급,스키 기술 향상,재무 관리
1870,중급,블록체인 기술 학습,스트레스 관리
1871,고급,통계학 공부,자동차
1872,초급,독서 및 분석 능력 향상,정치학
1873,초급,글로벌 비즈니스 이해,직업 훈련
1874,중급,디지털 마케팅 기술 향상,요리
1875,중급,유행 분석 배우기,자기계발
1876,초급,창의적 사고력 향상,체육
1877,고급,자바스크립트 배우기,식물학
1878,중급,웹툰 제작 기술 배우기,화학 실험
1879,초급,서핑 배우기,그래픽 디자인
1880,중급,건축 설계 학습,물리학 실험
1881,고급,협상 기술 배우기,직업 훈련
1882,고급,영화 제작 이해,역사
1883,고급,국제 협상 기술 배우기,도시 계획
1884,중급,연극 연출 능력 키우기,연극
1885,중급,통계학 공부,경제
1886,고급,인터뷰 기술 향상,팀 관리
1887,고급,감정 조절 기술 배우기,영화 제작
1888,고급,해외 여행 계획 기술 향상,공학
1889,중급,청중 분석 능력 개발,지리학
1890,중급,창의적 사고력 향상,출판
1891,고급,재테크 학습,광고
1892,고급,요리 기술 향상,인권
1893,고급,연극 연출 능력 키우기,컴퓨터 그래픽
1894,고급,스키 기술 향상,디지털 마케팅
1895,고급,청중 분석 능력 개발,재무 관리
1896,초급,심리학 학습,인테리어 디자인
1897,초급,농업 기술 배우기,무용
1898,고급,유튜브 영상 편집 배우기,자동차
1899,초급,인테리어 디자인 배우기,산업 디자인
1900,중급,자동차 정비 배우기,게임
1901,중급,서핑 배우기,역사
1902,초급,개인 브랜딩 전략 학습,출판
1903,초급,패션 디자인 배우기,무용
1904,초급,글로벌 비즈니스 이해,인터뷰
1905,중급,기타 연주 배우기,도시 계획
1906,고급,해외 여행 계획 기술 향상,경제학
1907,고급,타임 매니지먼트 배우기,철학
1908,중급,인터뷰 기술 향상,기술 혁신
1909,초급,프로그래밍 능력 향상,정원 가꾸기
1910,중급,재무 보고서 분석,기상학
1911,중급,국제 정치 분석 기술,미술사
1912,고급,통계학 공부,가상 현실
1913,중급,시간 관리 기술 향상,영화 제작
1914,중급,공간 예술 디자인 학습,교수법
1915,고급,국제 협상 기술 배우기,요리
1916,중급,발표 스킬 향상,글쓰기
1917,고급,외국어 배우기,법학
1918,중급,프로그래밍 능력 향상,생물학
1919,고급,연극 연출 능력 키우기,언어
1920,초급,창의적 사고력 향상,애니메이션
1921,초급,재무 보고서 분석,직업 훈련
1922,고급,환경 보호 관련 지식 배우기,컴퓨터 그래픽
1923,중급,예술사 학습,감정 관리
1924,초급,유행 분석 배우기,직무 분석
1925,고급,도시 계획 이해,인터뷰
1926,중급,커뮤니케이션 전략 배우기,웰빙
1927,중급,영화 제작 이해,요리
1928,고급,조경 디자인 학습,지질학
1929,초급,공간 예술 디자인 학습,경제학
1930,중급,데이터베이스 설계 배우기,브랜딩
1931,중급,브랜딩 전략 개발,연극
1932,고급,인테리어 소품 디자인 배우기,지리학
1933,중급,감정 조절 기술 배우기,출판
1934,고급,인터뷰 기술 향상,영화
1935,초급,인터뷰 기술 향상,건축
1936,고급,그래픽 디자인 능력 개발,리더십
1937,중급,국제 정치 분석 기술,역사
1938,중급,심리학 학습,산업 디자인
1939,중급,도시 계획 이해,지리학
1940,초급,연극 연출 능력 키우기,경제
1941,중급,자바스크립트 배우기,역사
1942,고급,해외 여행 계획 기술 향상,경제
1943,고급,디지털 마케팅 기술 향상,물리학
1944,중급,공간 예술 디자인 학습,커리어 개발
1945,고급,기초 의학 학습,인권
1946,초급,기업가 정신 배우기,디지털 마케팅
1947,중급,서비스 디자인 학습,코딩
1948,초급,브랜딩 전략 개발,애니메이션
1949,고급,조경 디자인 학습,출판
1950,중급,국제 협상 기술 배우기,화학 실험
1951,초급,법률 지식 향상,자기계발
1952,중급,국제 협상 기술 배우기,항공
1953,중급,법률 지식 향상,기계 공학
1954,초급,인테리어 소품 디자인 배우기,지리학
1955,중급,인공지능 알고리즘 이해하기,가상 현실
1956,초급,청중 분석 능력 개발,컴퓨터 그래픽
1957,중급,그래픽 디자인 능력 개발,환경 보호
1958,고급,대인 관계 기술 향상,웰빙
1959,중급,장기 목표 설정,코딩
1960,초급,대인 관계 기술 향상,3D 프린팅
1961,초급,인터뷰 기술 향상,시간 관리
1962,중급,청중 분석 능력 개발,해양학
1963,중급,재무 보고서 분석,바다 생물학
1964,초급,타임 매니지먼트 배우기,천문학
1965,중급,인터뷰 기술 향상,3D 프린팅
1966,중급,예술사 학습,마케팅
1967,초급,비즈니스 모델 개발,연극
1968,고급,서핑 배우기,스포츠
1969,고급,유행 분석 배우기,리더십
1970,초급,글로벌 비즈니스 이해,미디어
1971,중급,스키 기술 향상,생물학
1972,중급,기업가 정신 배우기,리더십
1973,고급,창의적 사고력 향상,철학
1974,고급,환경 보호 관련 지식 배우기,스트레스 관리
1975,중급,웹툰 제작 기술 배우기,기후 변화
1976,초급,의사소통 기술 향상,미디어
1977,중급,인테리어 소품 디자인 배우기,지리학
1978,중급,카메라 촬영 기술 배우기,커리어 개발
1979,중급,감정 조절 기술 배우기,브랜딩
1980,초급,영어 작문 기술 향상,프로젝트 관리
1981,중급,인테리어 소품 디자인 배우기,물리학
1982,초급,도시 계획 이해,직업 훈련
1983,중급,연구 논문 작성 기술 연마,경제학
1984,고급,블록체인 기술 학습,인터뷰
1985,초급,연구 논문 작성 기술 연마,생물학
1986,고급,시간 관리 기술 향상,심리학
1987,중급,기초 의학 학습,리더십
1988,초급,웹툰 제작 기술 배우기,심리학
1989,초급,글로벌 비즈니스 이해,공공 연설
1990,중급,문제 해결 능력 개발,커리어 개발
1991,고급,카피라이팅 기술 배우기,바이오테크놀로지
1992,초급,프리젠테이션 능력 개발,게임
1993,고급,네트워킹 기술 향상,예술
1994,고급,재테크 학습,여행
1995,중급,국제 정치 분석 기술,재무 관리
1996,고급,도시 계획 이해,네트워킹
1997,초급,비즈니스 윤리 배우기,영화
1998,초급,카메라 촬영 기술 배우기,감정 관리
1999,고급,협상 기술 배우기,자연 보전
2000,고급,스키 기술 향상,건강 관리
2001,중급,스키 기술 향상,자연 보전
2002,중급,글로벌 비즈니스 이해,미디어
2003,중급,네트워킹 기술 향상,사회학
2004,중급,서핑 배우기,소셜 미디어
2005,고급,인터뷰 기술 향상,화학
2006,고급,외국어 배우기,산업 디자인
2007,고급,바리스타 기술 연마,글쓰기
2008,중급,외국어 배우기,가상 현실
2009,초급,해외 여행 계획 기술 향상,환경 보호
2010,초급,농업 기술 배우기,마케팅
2011,중급,영화 제작 이해,지리학
2012,초급,독서 및 분석 능력 향상,연극
2013,초급,창의적 사고력 향상,출판
2014,중급,인테리어 디자인 배우기,화학
2015,중급,대인 관계 기술 향상,바다 생물학
2016,중급,청중 분석 능력 개발,리더십
2017,고급,커뮤니케이션 전략 배우기,네트워킹
2018,고급,생물학 원리 이해,컴퓨터 과학
2019,고급,패션 산업 이해,정원 가꾸기
2020,중급,그래픽 디자인 능력 개발,농업
2021,초급,요리 기술 향상,기후 변화
2022,초급,비즈니스 윤리 배우기,식물학
2023,고급,연구 논문 작성 기술 연마,물리학 실험
2024,고급,영화 비평 기술 향상,물리학 실험
2025,초급,비즈니스 네트워킹 스킬 향상,리더십
2026,고급,디지털 마케팅 기술 향상,무용
2027,고급,제품 개발 프로세스 이해,글쓰기
2028,중급,통계학 공부,환경 보호
2029,고급,서비스 디자인 학습,공공 연설
2030,중급,인권 문제 이해,시간 관리
2031,중급,성공적인 팀워크 기술 연마,문화
2032,중급,스토리텔링 능력 개발,바이오테크놀로지
2033,중급,국제 협상 기술 배우기,식물학
2034,초급,인테리어 소품 디자인 배우기,피트니스
2035,고급,자동차 정비 배우기,문화
2036,초급,건축 설계 학습,기계 공학
2037,고급,프리젠테이션 능력 개발,직업 훈련
2038,중급,명상 및 스트레스 관리 배우기,출판
2039,초급,문학 분석 능력 개발,직무 분석
2040,고급,카피라이팅 기술 배우기,천문학
2041,초급,게임 디자인 이해,게임
2042,초급,비평적 사고력 향상,소셜 미디어
2043,고급,유튜브 영상 편집 배우기,물리학
2044,고급,패션 산업 이해,정치학
2045,중급,연극 연출 능력 키우기,문화
2046,초급,리더십 기술 향상,경제학
2047,중급,디지털 마케팅 기술 향상,기후 변화
2048,고급,발표 스킬 향상,감정 관리
2049,고급,심리학 학습,문학
2050,중급,재무 보고서 분석,마케팅
2051,고급,기타 연주 배우기,바이오테크놀로지
2052,중급,커뮤니케이션 전략 배우기,컴퓨터 그래픽
2053,고급,자동차 정비 배우기,공학
2054,고급,영화 제작 이해,영화
2055,초급,동물 보호 관련 지식 배우기,지리학
2056,초급,영어 작문 기술 향상,감정 관리
2057,초급,커뮤니케이션 전략 배우기,재무 관리
2058,중급,통계학 공부,인터넷
2059,중급,대인 관계 기술 향상,교육
2060,초급,성공적인 팀워크 기술 연마,바다 생물학
2061,고급,생물학 원리 이해,인터뷰
2062,고급,네트워킹 기술 향상,교육
2063,초급,공공 연설 능력 개발,생물학
2064,초급,인테리어 소품 디자인 배우기,미술사
2065,초급,바이올린 연주 배우기,교육
2066,초급,유튜브 영상 편집 배우기,명상
2067,초급,통계학 공부,건축
2068,중급,생산성 높이는 방법 배우기,지질학
2069,초급,애니메이션 제작 배우기,광고
2070,중급,명상 및 스트레스 관리 배우기,연극
2071,중급,공연 기획 배우기,화학
2072,초급,공연 기획 배우기,정치학
2073,고급,기타 연주 배우기,마케팅
2074,초급,심리학 학습,우주과학
2075,초급,명상 및 스트레스 관리 배우기,예술
2076,고급,공간 예술 디자인 학습,건축
2077,고급,사진 촬영 기술 향상,비즈니스 윤리
2078,초급,비즈니스 모델 개발,네트워킹
2079,초급,시간 관리 기술 향상,물리학 실험
2080,중급,소셜 미디어 마케팅 배우기,도시 계획
2081,중급,심리학 학습,문화
2082,고급,청중 분석 능력 개발,천문학
2083,초급,게임 디자인 이해,요리
2084,초급,네트워킹 기술 향상,환경 보호
2085,초급,국제 정치 분석 기술,바다 생물학
2086,초급,커뮤니케이션 전략 배우기,리더십
2087,중급,영화 제작 이해,인권
2088,중급,프리랜서 비즈니스 관리,기상학
2089,고급,현대 철학 이해,미술사
2090,초급,브랜딩 전략 개발,커리어 개발
2091,초급,예술사 학습,음악
2092,고급,서비스 디자인 학습,코딩
2093,중급,조경 디자인 학습,경제학
2094,고급,심리학 학습,리더십
2095,중급,인테리어 디자인 배우기,디지털 마케팅
2096,중급,인권 문제 이해,로봇공학
2097,고급,패션 산업 이해,자기계발
2098,초급,유튜브 영상 편집 배우기,스포츠
2099,중급,인공지능 알고리즘 이해하기,미술사
2100,중급,재테크 학습,그래픽 디자인
2101,고급,제품 개발 프로세스 이해,게임
2102,고급,영화 제작 이해,투자
2103,중급,요리 기술 향상,컴퓨터 과학
2104,중급,법률 지식 향상,시간 관리
2105,중급,소셜 미디어 마케팅 배우기,영화 제작
2106,초급,기계 공학 원리 학습,마케팅
2107,고급,커뮤니케이션 전략 배우기,영화
2108,중급,재테크 학습,미술사
2109,초급,비평적 사고력 향상,통신
2110,고급,기업가 정신 배우기,건축
2111,초급,애니메이션 제작 배우기,직업 훈련
2112,중급,데이터베이스 설계 배우기,컴퓨터 과학
2113,초급,재테크 학습,컴퓨터 과학
2114,초급,연구 논문 작성 기술 연마,패션
2115,초급,협상 기술 배우기,가상 현실
2116,고급,비즈니스 윤리 배우기,명상
2117,초급,국제 정치 분석 기술,통신
2118,고급,국제 협상 기술 배우기,컴퓨터 과학
2119,중급,프리젠테이션 능력 개발,프로젝트 관리
2120,초급,디지털 마케팅 기술 향상,비즈니스 윤리
2121,고급,카피라이팅 기술 배우기,디지털 마케팅
2122,초급,재테크 학습,재무 관리
2123,중급,스토리텔링 능력 개발,건축
2124,초급,프리랜서 비즈니스 관리,화학 실험
2125,중급,산업 디자인 기술 배우기,피트니스
2126,초급,기타 연주 배우기,미디어
2127,중급,커뮤니케이션 전략 배우기,문화
2128,고급,농업 기술 배우기,예술
2129,초급,비평적 사고력 향상,화학 실험
2130,고급,독서 및 분석 능력 향상,경영학
2131,고급,카피라이팅 기술 배우기,브랜딩
2132,중급,건축 설계 학습,명상
2133,초급,가상 현실 개발 학습,비즈니스 윤리
2134,초급,환경 보호 관련 지식 배우기,바이오테크놀로지
2135,초급,산업 디자인 기술 배우기,자연 보전
2136,고급,요리 기술 향상,연극
2137,초급,국제 정치 분석 기술,자기계발
2138,고급,프로그래밍 능력 향상,음악
2139,중급,디지털 마케팅 기술 향상,컴퓨터 과학
2140,초급,동물 보호 관련 지식 배우기,농업
2141,중급,브랜딩 전략 개발,증강 현실
2142,초급,인테리어 소품 디자인 배우기,창업
2143,고급,요리 기술 향상,철학
2144,중급,서비스 디자인 학습,환경 보호
2145,초급,비즈니스 모델 개발,시간 관리
2146,초급,카피라이팅 기술 배우기,공학
2147,중급,국제 정치 분석 기술,언어
2148,고급,패션 산업 이해,인테리어 디자인
2149,초급,감정 조절 기술 배우기,체육
2150,고급,대인 관계 기술 향상,생물학
2151,고급,동물 보호 관련 지식 배우기,지리학
2152,중급,건축 설계 학습,마케팅
2153,중급,개인 브랜딩 전략 학습,환경 보호
2154,초급,문제 해결 능력 개발,디지털 마케팅
2155,고급,사회적 미디어 전략 개발,인공지능
2156,고급,서핑 배우기,천문학
2157,고급,재무 보고서 분석,창업
2158,고급,성공적인 팀워크 기술 연마,애니메이션
2159,중급,농업 기술 배우기,글쓰기
2160,중급,게임 디자인 이해,경제
2161,초급,유행 분석 배우기,법학
2162,초급,통계학 공부,인터뷰
2163,고급,조경 디자인 학습,소셜 미디어
2164,중급,도시 계획 이해,패션
2165,고급,영화 제작 이해,화학
2166,중급,웹툰 제작 기술 배우기,증강 현실
2167,고급,카메라 촬영 기술 배우기,인권
2168,중급,인테리어 디자인 배우기,프로젝트 관리
2169,중급,인권 문제 이해,그래픽 디자인
2170,고급,의사소통 기술 향상,브랜딩
2171,고급,장기 목표 설정,자기계발
2172,초급,바이올린 연주 배우기,스트레스 관리
2173,고급,인터뷰 기술 향상,연극
2174,초급,비즈니스 네트워킹 스킬 향상,자기계발
2175,고급,데이터베이스 설계 배우기,지구과학
2176,중급,공간 예술 디자인 학습,인터넷
2177,고급,사진 촬영 기술 향상,공공 연설
2178,초급,애니메이션 제작 배우기,코딩
2179,고급,조경 디자인 학습,산업 디자인
2180,고급,영화 비평 기술 향상,리더십
2181,중급,고전 문학 학습,3D 프린팅
2182,고급,문제 해결 능력 개발,리더십
2183,중급,소셜 미디어 마케팅 배우기,피트니스
2184,초급,커뮤니케이션 전략 배우기,물리학
2185,중급,브랜딩 전략 개발,영화
2186,중급,장기 목표 설정,인테리어 디자인
2187,고급,인테리어 소품 디자인 배우기,패션
2188,중급,브랜딩 전략 개발,해양학
2189,중급,요리 기술 향상,컴퓨터 그래픽
2190,고급,비평적 사고력 향상,그래픽 디자인
2191,초급,사진 촬영 기술 향상,시간 관리
2192,중급,글로벌 비즈니스 이해,요리
2193,고급,요리 기술 향상,요리
2194,초급,비즈니스 모델 개발,정치학
2195,중급,연극 연출 능력 키우기,우주과학
2196,고급,인테리어 디자인 배우기,식물학
2197,초급,커뮤니케이션 전략 배우기,소셜 미디어
2198,고급,심리학 학습,직업 훈련
2199,중급,창의적 사고력 향상,천문학
2200,중급,고전 문학 학습,소셜 미디어
2201,고급,영화 비평 기술 향상,음악
2202,중급,요리 기술 향상,문화
2203,초급,연극 연출 능력 키우기,리더십
2204,초급,감정 조절 기술 배우기,역사
2205,고급,의사소통 기술 향상,연극
2206,중급,성공적인 팀워크 기술 연마,생물학
2207,초급,농업 기술 배우기,연극
2208,중급,청중 분석 능력 개발,소셜 미디어
2209,중급,웹툰 제작 기술 배우기,교육
2210,중급,조경 디자인 학습,직업 훈련
2211,초급,바리스타 기술 연마,코딩
2212,초급,아마추어 극단 운영 기술,지구과학
2213,고급,현대 철학 이해,영화 제작
2214,고급,산업 디자인 기술 배우기,환경 보호
2215,고급,심리학 학습,산업 디자인
2216,초급,패션 디자인 배우기,바다 생물학
2217,중급,네트워킹 기술 향상,요리
2218,고급,인터뷰 기술 향상,체육
2219,초급,리더십 기술 향상,소셜 미디어
2220,초급,게임 디자인 이해,기계 공학
2221,중급,바이올린 연주 배우기,바이오테크놀로지
2222,초급,국제 정치 분석 기술,가상 현실
2223,초급,블록체인 기술 학습,여행
2224,초급,동물 보호 관련 지식 배우기,인터넷
2225,초급,재테크 학습,바이오테크놀로지
2226,중급,패션 산업 이해,기계 공학
2227,고급,웹툰 제작 기술 배우기,항공
2228,초급,사진 촬영 기술 향상,영화
2229,초급,통계학 공부,교수법
2230,고급,그래픽 디자인 능력 개발,웰빙
2231,초급,협상 기술 배우기,농업
2232,고급,패션 디자인 배우기,로봇공학
2233,중급,문서 작성 기술 배우기,해양학
2234,고급,생물학 원리 이해,환경 보호
2235,중급,외국어 배우기,비즈니스 윤리
2236,초급,생산성 높이는 방법 배우기,피트니스
2237,고급,공간 예술 디자인 학습,출판
2238,초급,네트워킹 기술 향상,지구과학
2239,중급,산업 디자인 기술 배우기,물리학
2240,초급,비즈니스 윤리 배우기,방송
2241,고급,법률 지식 향상,예술
2242,중급,연구 논문 작성 기술 연마,3D 프린팅
2243,고급,개인 브랜딩 전략 학습,산업 디자인
2244,고급,바리스타 기술 연마,패션
2245,초급,문학 분석 능력 개발,언어
2246,초급,공간 예술 디자인 학습,브랜딩
2247,초급,비즈니스 윤리 배우기,물리학
2248,중급,아마추어 극단 운영 기술,로봇공학
2249,중급,데이터베이스 설계 배우기,언어
2250,초급,아마추어 극단 운영 기술,재무 관리
2251,고급,요리 기술 향상,창업
2252,고급,대인 관계 기술 향상,심리학
2253,초급,프리랜서 비즈니스 관리,자동차
2254,고급,유행 분석 배우기,경제학
2255,초급,문학 분석 능력 개발,교수법
2256,고급,유튜브 영상 편집 배우기,로봇공학
2257,중급,타임 매니지먼트 배우기,조각
2258,고급,프리젠테이션 능력 개발,증강 현실
2259,고급,심리학 학습,우주과학
2260,중급,블록체인 기술 학습,식물학
2261,고급,비즈니스 윤리 배우기,체육
2262,초급,생물학 원리 이해,패션
2263,초급,문제 해결 능력 개발,물리학 실험
2264,고급,문제 해결 능력 개발,공학
2265,중급,바리스타 기술 연마,물리학
2266,중급,협상 기술 배우기,마케팅
2267,초급,프리젠테이션 능력 개발,시간 관리
2268,중급,감정 조절 기술 배우기,경영학
2269,중급,독서 및 분석 능력 향상,투자
2270,중급,프리랜서 비즈니스 관리,해양학
2271,고급,명상 및 스트레스 관리 배우기,비즈니스 윤리
2272,고급,재무 보고서 분석,창업
2273,고급,문제 해결 능력 개발,바다 생물학
2274,초급,카피라이팅 기술 배우기,요리
2275,고급,영어 작문 기술 향상,정치학
2276,중급,사회적 미디어 전략 개발,명상
2277,중급,기계 공학 원리 학습,산업 디자인
2278,중급,연구 논문 작성 기술 연마,자기계발
2279,고급,서비스 디자인 학습,그래픽 디자인
2280,초급,고급 수학 학습,직업 훈련
2281,중급,패션 디자인 배우기,동물학
2282,초급,사회적 미디어 전략 개발,기술 혁신
2283,중급,사회적 미디어 전략 개발,사진
2284,고급,프리젠테이션 능력 개발,여행
2285,초급,문학 분석 능력 개발,음악
2286,중급,생산성 높이는 방법 배우기,화학 실험
2287,초급,문서 작성 기술 배우기,지구과학
2288,고급,재무 보고서 분석,바다 생물학
2289,고급,해외 여행 계획 기술 향상,커리어 개발
2290,고급,독서 및 분석 능력 향상,정원 가꾸기
2291,고급,프리랜서 비즈니스 관리,그래픽 디자인
2292,초급,발표 스킬 향상,인터넷
2293,고급,청중 분석 능력 개발,식물학
2294,초급,대인 관계 기술 향상,도시 계획
2295,고급,재테크 학습,사진
2296,중급,기초 의학 학습,건강 관리
2297,초급,시간 관리 기술 향상,게임
2298,고급,인테리어 디자인 배우기,조각
2299,초급,국제 협상 기술 배우기,법학
2300,초급,블록체인 기술 학습,공공 연설
2301,초급,발표 스킬 향상,정치학
2302,초급,인공지능 알고리즘 이해하기,건강 관리
2303,중급,명상 및 스트레스 관리 배우기,프로젝트 관리
2304,고급,유행 분석 배우기,바다 생물학
2305,초급,통계학 공부,경제
2306,고급,영화 비평 기술 향상,지리학
2307,고급,기계 공학 원리 학습,역사
2308,중급,통계학 공부,무용
2309,초급,블록체인 기술 학습,비즈니스 윤리
2310,고급,발표 스킬 향상,경영학
2311,고급,인테리어 디자인 배우기,디지털 마케팅
2312,고급,농업 기술 배우기,리더십
2313,고급,소셜 미디어 마케팅 배우기,증강 현실
2314,초급,유튜브 영상 편집 배우기,명상
2315,초급,게임 디자인 이해,농업
2316,초급,의사소통 기술 향상,글쓰기
2317,고급,고급 수학 학습,건축
2318,중급,청중 분석 능력 개발,조각
2319,고급,음악 이론 배우기,브랜딩
2320,고급,창의적 사고력 향상,물리학
2321,고급,글로벌 비즈니스 이해,바이오테크놀로지
2322,중급,비즈니스 네트워킹 스킬 향상,소셜 미디어
2323,고급,현대 철학 이해,피트니스
2324,고급,서핑 배우기,출판
2325,중급,산업 디자인 기술 배우기,물리학
2326,고급,자바스크립트 배우기,피트니스
2327,중급,카메라 촬영 기술 배우기,인테리어 디자인
2328,중급,성공적인 팀워크 기술 연마,감정 관리
2329,고급,비즈니스 윤리 배우기,식물학
2330,중급,고전 문학 학습,피트니스
2331,초급,스토리텔링 능력 개발,음악
2332,초급,창의적 사고력 향상,항공
2333,고급,발표 스킬 향상,직무 분석
2334,중급,통계학 공부,코딩
2335,고급,국제 정치 분석 기술,자기계발
2336,중급,협상 기술 배우기,감정 관리
2337,초급,창의적 사고력 향상,공공 연설
2338,중급,서핑 배우기,무용
2339,초급,데이터베이스 설계 배우기,방송
2340,고급,비즈니스 네트워킹 스킬 향상,애니메이션
2341,중급,창의적 사고력 향상,화학
2342,고급,건축 설계 학습,조각
2343,초급,인터뷰 기술 향상,건강 관리
2344,중급,비즈니스 네트워킹 스킬 향상,건축
2345,중급,소셜 미디어 마케팅 배우기,웰빙
2346,고급,통계학 공부,체육
2347,중급,글로벌 비즈니스 이해,지구과학
2348,고급,시간 관리 기술 향상,직업 훈련
2349,고급,공연 기획 배우기,게임
2350,중급,장기 목표 설정,교육
2351,고급,음악 이론 배우기,정원 가꾸기
2352,초급,동물 보호 관련 지식 배우기,커리어 개발
2353,초급,프리젠테이션 능력 개발,미디어
2354,초급,기계 공학 원리 학습,애니메이션
2355,중급,협상 기술 배우기,기술 혁신
2356,초급,영화 제작 이해,창업
2357,중급,건축 설계 학습,리더십
2358,초급,소셜 미디어 마케팅 배우기,사회학
2359,초급,생물학 원리 이해,바다 생물학
2360,초급,인테리어 디자인 배우기,산업 디자인
2361,중급,커뮤니케이션 전략 배우기,투자
2362,중급,브랜딩 전략 개발,네트워킹
2363,중급,웹툰 제작 기술 배우기,애니메이션
2364,중급,영어 작문 기술 향상,투자
2365,중급,통계학 공부,컴퓨터 그래픽
2366,고급,공공 연설 능력 개발,식물학
2367,중급,바이올린 연주 배우기,피트니스
2368,고급,제품 개발 프로세스 이해,기후 변화
2369,고급,유튜브 영상 편집 배우기,미술사
2370,초급,블록체인 기술 학습,산업 디자인
2371,중급,영화 제작 이해,공공 연설
2372,초급,인공지능 알고리즘 이해하기,식물학
2373,중급,영화 제작 이해,인공지능
2374,중급,영화 제작 이해,디지털 마케팅
2375,고급,서비스 디자인 학습,스포츠
2376,고급,프리젠테이션 능력 개발,인공지능
2377,중급,자동차 정비 배우기,식물학
2378,중급,웹툰 제작 기술 배우기,음악
2379,초급,산업 디자인 기술 배우기,역사
2380,중급,국제 협상 기술 배우기,기상학
2381,중급,창의적 사고력 향상,물리학
2382,중급,통계학 공부,언어
2383,초급,게임 디자인 이해,식물학
2384,초급,블록체인 기술 학습,통신
2385,고급,재테크 학습,정원 가꾸기
2386,초급,문제 해결 능력 개발,패션
2387,고급,유튜브 영상 편집 배우기,게임
2388,초급,시간 관리 기술 향상,도시 계획
2389,중급,웹툰 제작 기술 배우기,지질학
2390,중급,통계학 공부,그래픽 디자인
2391,고급,성공적인 팀워크 기술 연마,감정 관리
2392,초급,생물학 원리 이해,소셜 미디어
2393,초급,공연 기획 배우기,기후 변화
2394,초급,감정 조절 기술 배우기,비즈니스 윤리
2395,중급,데이터베이스 설계 배우기,문학
2396,중급,창의적 사고력 향상,직무 분석
2397,고급,네트워킹 기술 향상,우주과학
2398,고급,개인 브랜딩 전략 학습,인테리어 디자인
2399,고급,비즈니스 모델 개발,게임
2400,중급,자바스크립트 배우기,연극
2401,초급,농업 기술 배우기,출판
2402,중급,서핑 배우기,코딩
2403,초급,블록체인 기술 학습,언어
2404,초급,사회적 미디어 전략 개발,정원 가꾸기
2405,고급,현대 철학 이해,코딩
2406,중급,패션 산업 이해,로봇공학
2407,중급,스토리텔링 능력 개발,기계 공학
2408,고급,웹툰 제작 기술 배우기,브랜딩
2409,초급,인테리어 디자인 배우기,경제
2410,중급,스키 기술 향상,사진
2411,중급,성공적인 팀워크 기술 연마,법학
2412,초급,영화 비평 기술 향상,산업 디자인
2413,중급,기계 공학 원리 학습,직업 훈련
2414,고급,제품 개발 프로세스 이해,공공 연설
2415,중급,비즈니스 모델 개발,공공 연설
2416,초급,국제 협상 기술 배우기,화학 실험
2417,고급,명상 및 스트레스 관리 배우기,출판
2418,초급,발표 스킬 향상,창업
2419,중급,창의적 사고력 향상,무용
2420,초급,음악 이론 배우기,코딩
2421,중급,프리젠테이션 능력 개발,철학
2422,고급,네트워킹 기술 향상,소셜 미디어
2423,고급,바리스타 기술 연마,투자
2424,중급,고급 수학 학습,경제학
2425,고급,연극 연출 능력 키우기,컴퓨터 그래픽
2426,중급,글로벌 비즈니스 이해,자기계발
2427,중급,프리랜서 비즈니스 관리,기후 변화
2428,초급,블록체인 기술 학습,자동차
2429,고급,디지털 마케팅 기술 향상,미술사
2430,고급,성공적인 팀워크 기술 연마,항공
2431,중급,청중 분석 능력 개발,조각
2432,고급,장기 목표 설정,기후 변화
2433,고급,리더십 기술 향상,네트워킹
2434,중급,리더십 기술 향상,그래픽 디자인
2435,중급,청중 분석 능력 개발,언어
2436,초급,통계학 공부,리더십
2437,고급,대인 관계 기술 향상,출판
2438,고급,영어 작문 기술 향상,바이오테크놀로지
2439,고급,그래픽 디자인 능력 개발,경제
2440,중급,개인 브랜딩 전략 학습,미술사
2441,고급,사회적 미디어 전략 개발,기술 혁신
2442,중급,창의적 사고력 향상,물리학
2443,고급,환경 보호 관련 지식 배우기,체육
2444,고급,비평적 사고력 향상,스포츠
2445,초급,현대 철학 이해,투자
2446,초급,애니메이션 제작 배우기,사진
